Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR - Curve,Training Time,Inference Time
abalon,DEBoost,4,,0.779904306,0.576858529,3.239738544,0.678460428,0.726074477,0.696240021,0.173075347,0.124709576
abalon,DEBoost,5,,0.776714514,0.590253684,0.131486142,0.680857596,0.729325992,0.703338734,0.17667311,0.1316017
abalon,DEBoost,6,,0.779106858,0.580964276,3.270549059,0.694483696,0.729495515,0.7075007,0.171173512,0.121973246
abalon,DEBoost,7,,0.782296651,0.590313988,0.124709576,0.697898578,0.733632043,0.711889377,0.179426712,0.123049902
abalon,DEBoost,8,,0.782296651,0.594290504,3.244862795,0.683051255,0.732398462,0.704460353,0.16891405,0.129493579
abalon,DEBoost,9,,0.782296651,0.581775233,0.1316017,0.686102353,0.72976669,0.701721887,0.180344833,0.122241854
abalon,DEBoost,10,,0.78708134,0.609259877,3.180942059,0.706931058,0.741963864,0.722688769,0.170166032,0.125332149
abalon,XGBoost-imbalance,1,"{'max_depth': 5, 'imbalance_alpha': 3.0, 'focal_gamma': 1.0, 'eta': 0.5}",0.744019139,0.68543263,0.262849828,0.547689936,0.797369502,0.659448316,0.007207124,0.262849828
abalon,XGBoost-imbalance,2,"{'max_depth': 5, 'imbalance_alpha': 3.0, 'focal_gamma': 1.0, 'eta': 0.5}",0.76076555,0.735624926,0.053351323,0.554472495,0.808993125,0.669301946,0.011769208,0.292377319
abalon,XGBoost-imbalance,3,"{'max_depth': 5, 'imbalance_alpha': 3.0, 'focal_gamma': 1.0, 'eta': 0.5}",0.736842105,0.69493442,0.292377319,0.544254298,0.782560982,0.655343667,0.009566783,0.262810549
abalon,XGBoost-imbalance,4,"{'max_depth': 5, 'imbalance_alpha': 3.0, 'focal_gamma': 1.0, 'eta': 0.5}",0.775917065,0.738698248,0.075973749,0.590139616,0.826497369,0.694553945,0.009668121,0.223071382
abalon,XGBoost-imbalance,5,"{'max_depth': 5, 'imbalance_alpha': 3.0, 'focal_gamma': 1.0, 'eta': 0.5}",0.749601276,0.745217027,0.262810549,0.548457985,0.815485981,0.68202469,0.020075833,0.275842288
